ZCTA5CE20,CMPD_Division,21_avg_h_hld_inc,21_med_h_hld_inc,21_pop,20_avg_h_hld_inc,20_med_h_hld_inc,20_pop
28277,South Division,"167,800.00","123,083","75,440","147,600","111,572","73,750"
28207,Central Division,"243,902.00","157,220","9,789","197,634.00","123,063","9,280"
28270,South Division,"159,295.00","108,838","35,953","134,886.00","84,429","31,525"
28278,Steele Creek Division,"135,177.00","105,704","31,014","106,039.00","76,566","19,283"
28226,South Division,"159,031.00","103,233","41,674","124,089.00","68,291","37,286"
28211,Eastway Division,"176,257.00","105,107","31,286","141,553.00","70,403","28,523"
28269,University City Division,"94,867.00","71,200","86,682","83,737.00","60,070","71,048"
28273,Steele Creek Division,"93,641.00","76,020","40,657","73,669.00","56,048","31,478"
28210,South Division,"120,124.00","80,601","47,996","94,438.00","54,915","42,263"
28227,Hickory Grove Division,"90,059.00","67,990","60,024","73,596.00","51,527","49,635"
28262,University City Division,"73,015.00","58,506","48,221","58,990.00","44,481","37,547"
28214,Freedom Division,"90,418.00","70,435","43,786","73,510.00","53,527","34,721"
28215,Hickory Grove Division,"77,062.00","58,447","63,280","64,598.00","45,983","53,629"
28209,Central Division,"136,374.00","87,980","23,997","108,574.00","60,180","20,317"
28213,University City Division,"75,469.00","54,474.00","45,772","63,400.00","42,405","37,309"
28216,Freedom Division,"76,917.00","57,278","61,809","68,130.00","48,491","47,208"
28203,Metro Division,"137,976.00","93,679","18,102","108,901.00","64,604","11,315"
28217,Westover Division,"74,328.00","60,381","29,661","52,779.00","38,832","24,204"
28212,Independence Division,"59,873.00","47,394","41,815","46,260.00","33,781","38,457"
28205,North Tryon Division,"92,786.00","61,448","49,930","66,648.00","35,310","43,931"
28204,Metro Division,"123,062.00","78,178","7,994","101,170.00","56,286","4,796"
28202,Metro Division,"141,518.00","94,249","16,717","117,569.00","70,300","11,195"
28208,Airport,"62,277.00","43,906","40,234","46,806.00","28,435","34,167"
28206,North Tryon Division,"52,741.00","38,339","14,305","35,489.00","21,087","11,898"
28078,North Division,"148,234","110,017","70,539","121,736.00","83,519","52,133"
28105,Independence Division,"117,768","86,012","46,188","95,602.00","63,846","39,586"
28134,Steele Creek Division,"95,280","67,259","12,797","78,784.00","50,763","9,453"
